Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
12/31/2008,2008Q4,36,Private Industries,Transportation and warehousing,5002
12/31/2008,2008Q4,45,Private Industries,Information,4656
12/31/2008,2008Q4,51,Private Industries,Finance and insurance,10013
12/31/2008,2008Q4,56,Private Industries,Real estate and rental and leasing,13641
12/31/2008,2008Q4,60,Private Industries,"Professional, scientific, and technical services",4245
12/31/2008,2008Q4,64,Private Industries,Management of companies and enterprises,1398
12/31/2008,2008Q4,65,Private Industries,Administrative and waste management services,2901
12/31/2008,2008Q4,69,Private Industries,Educational services,1194
12/31/2008,2008Q4,70,Private Industries,Health care and social assistance,9838
12/31/2008,2008Q4,75,Private Industries,"Arts, entertainment, and recreation",1092
12/31/2008,2008Q4,78,Private Industries,Accommodation and food services,2736
12/31/2008,2008Q4,81,Private Industries,"Other services, except government",2984
12/31/2008,2008Q4,82,Government,Government,16432
03/31/2009,2009Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",5208
03/31/2009,2009Q1,6,Private Industries,Mining,299
03/31/2009,2009Q1,10,Private Industries,Utilities,3119
03/31/2009,2009Q1,11,Private Industries,Construction,5811
03/31/2009,2009Q1,12,Private Industries,Manufacturing,24303
03/31/2009,2009Q1,34,Private Industries,Wholesale trade,7914
03/31/2009,2009Q1,35,Private Industries,Retail trade,8051
03/31/2009,2009Q1,36,Private Industries,Transportation and warehousing,4834
03/31/2009,2009Q1,45,Private Industries,Information,4663
03/31/2009,2009Q1,51,Private Industries,Finance and insurance,12298
03/31/2009,2009Q1,56,Private Industries,Real estate and rental and leasing,14397
03/31/2009,2009Q1,60,Private Industries,"Professional, scientific, and technical services",4215
03/31/2009,2009Q1,64,Private Industries,Management of companies and enterprises,1362
03/31/2009,2009Q1,65,Private Industries,Administrative and waste management services,2864
03/31/2009,2009Q1,69,Private Industries,Educational services,1270
03/31/2009,2009Q1,70,Private Industries,Health care and social assistance,9799
03/31/2009,2009Q1,75,Private Industries,"Arts, entertainment, and recreation",1107
03/31/2009,2009Q1,78,Private Industries,Accommodation and food services,2698
03/31/2009,2009Q1,81,Private Industries,"Other services, except government",3011
03/31/2009,2009Q1,82,Government,Government,16854
06/30/2009,2009Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6020
06/30/2009,2009Q2,6,Private Industries,Mining,318
06/30/2009,2009Q2,10,Private Industries,Utilities,3001
06/30/2009,2009Q2,11,Private Industries,Construction,5592
06/30/2009,2009Q2,12,Private Industries,Manufacturing,24549
06/30/2009,2009Q2,34,Private Industries,Wholesale trade,7799
06/30/2009,2009Q2,35,Private Industries,Retail trade,8089
06/30/2009,2009Q2,36,Private Industries,Transportation and warehousing,4614
06/30/2009,2009Q2,45,Private Industries,Information,4573
06/30/2009,2009Q2,51,Private Industries,Finance and insurance,13384
06/30/2009,2009Q2,56,Private Industries,Real estate and rental and leasing,14091
06/30/2009,2009Q2,60,Private Industries,"Professional, scientific, and technical services",4065
06/30/2009,2009Q2,64,Private Industries,Management of companies and enterprises,1323
06/30/2009,2009Q2,65,Private Industries,Administrative and waste management services,2829
06/30/2009,2009Q2,69,Private Industries,Educational services,1269
06/30/2009,2009Q2,70,Private Industries,Health care and social assistance,9971
06/30/2009,2009Q2,75,Private Industries,"Arts, entertainment, and recreation",1071
06/30/2009,2009Q2,78,Private Industries,Accommodation and food services,2714
06/30/2009,2009Q2,81,Private Industries,"Other services, except government",3000
06/30/2009,2009Q2,82,Government,Government,17011
09/30/2009,2009Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6738
09/30/2009,2009Q3,6,Private Industries,Mining,339
09/30/2009,2009Q3,10,Private Industries,Utilities,2760
09/30/2009,2009Q3,11,Private Industries,Construction,5524
09/30/2009,2009Q3,12,Private Industries,Manufacturing,25783
09/30/2009,2009Q3,34,Private Industries,Wholesale trade,7867
09/30/2009,2009Q3,35,Private Industries,Retail trade,7977
09/30/2009,2009Q3,36,Private Industries,Transportation and warehousing,4610
